orgId,registrationId,material
60086,aaa000000000000000060086,Glass
60089,aaa000000000000000060089,Paper
60036,aaa000000000000000060036,Plastic
60028,aaa000000000000000060028,Fibre
60042,aaa000000000000000060042,Fibre
60066,aaa000000000000000060066,Steel
60058,aaa000000000000000060058,Glass
60080,aaa000000000000000060080,Steel
60098,aaa000000000000000060098,Fibre
60093,aaa000000000000000060093,Glass
60012,aaa000000000000000060012,Paper
60045,aaa000000000000000060045,Steel
60087,aaa000000000000000060087,Steel
60002,aaa000000000000000060002,Glass
60019,aaa000000000000000060019,Paper
60097,aaa000000000000000060097,Wood
60050,aaa000000000000000060050,Plastic
60029,aaa000000000000000060029,Plastic
60006,aaa000000000000000060006,Wood
60034,aaa000000000000000060034,Wood
60048,aaa000000000000000060048,Wood
60016,aaa000000000000000060016,Glass
60018,aaa000000000000000060018,Aluminium
60090,aaa000000000000000060090,Wood
60041,aaa000000000000000060041,Wood
60008,aaa000000000000000060008,Plastic
60004,aaa000000000000000060004,Aluminium
60094,aaa000000000000000060094,Steel
60023,aaa000000000000000060023,Glass
60033,aaa000000000000000060033,Paper
60070,aaa000000000000000060070,Fibre
60095,aaa000000000000000060095,Aluminium
60100,aaa000000000000000060100,Glass
60091,aaa000000000000000060091,Fibre
60043,aaa000000000000000060043,Plastic
60088,aaa000000000000000060088,Aluminium
60085,aaa000000000000000060085,Plastic
60026,aaa000000000000000060026,Paper
60061,aaa000000000000000060061,Paper
60051,aaa000000000000000060051,Glass
60064,aaa000000000000000060064,Plastic
60031,aaa000000000000000060031,Steel
60081,aaa000000000000000060081,Aluminium
60038,aaa000000000000000060038,Steel
60044,aaa000000000000000060044,Glass
60067,aaa000000000000000060067,Aluminium
60032,aaa000000000000000060032,Aluminium
60024,aaa000000000000000060024,Steel
60069,aaa000000000000000060069,Wood
60073,aaa000000000000000060073,Steel
60072,aaa000000000000000060072,Glass
60020,aaa000000000000000060020,Wood
60052,aaa000000000000000060052,Steel
60053,aaa000000000000000060053,Aluminium
60082,aaa000000000000000060082,Paper
60027,aaa000000000000000060027,Wood
60040,aaa000000000000000060040,Paper
60030,aaa000000000000000060030,Glass
60076,aaa000000000000000060076,Wood
60068,aaa000000000000000060068,Paper
60014,aaa000000000000000060014,Fibre
60071,aaa000000000000000060071,Plastic
60083,aaa000000000000000060083,Wood
60017,aaa000000000000000060017,Steel
60079,aaa000000000000000060079,Glass
60099,aaa000000000000000060099,Plastic
60005,aaa000000000000000060005,Paper
60021,aaa000000000000000060021,Fibre
60096,aaa000000000000000060096,Paper
60009,aaa000000000000000060009,Glass
60047,aaa000000000000000060047,Paper
60001,aaa000000000000000060001,Plastic
60062,aaa000000000000000060062,Wood
60077,aaa000000000000000060077,Fibre
60015,aaa000000000000000060015,Plastic
60037,aaa000000000000000060037,Glass
60007,aaa000000000000000060007,Fibre
60065,aaa000000000000000060065,Glass
60010,aaa000000000000000060010,Steel
60025,aaa000000000000000060025,Aluminium
60011,aaa000000000000000060011,Aluminium
60074,aaa000000000000000060074,Aluminium
60046,aaa000000000000000060046,Aluminium
60056,aaa000000000000000060056,Fibre
60078,aaa000000000000000060078,Plastic
60059,aaa000000000000000060059,Steel
60039,aaa000000000000000060039,Aluminium
60060,aaa000000000000000060060,Aluminium
60013,aaa000000000000000060013,Wood
60022,aaa000000000000000060022,Plastic
60054,aaa000000000000000060054,Paper
60075,aaa000000000000000060075,Paper
60063,aaa000000000000000060063,Fibre
60057,aaa000000000000000060057,Plastic
60003,aaa000000000000000060003,Steel
60035,aaa000000000000000060035,Fibre
60055,aaa000000000000000060055,Wood
60084,aaa000000000000000060084,Fibre
60049,aaa000000000000000060049,Fibre
60092,aaa000000000000000060092,Plastic
